DATE,WOMEN
1/1/2000,4.1
2/1/2000,4.1
3/1/2000,4.3
4/1/2000,4
5/1/2000,4.2
6/1/2000,4.1
7/1/2000,4.2
8/1/2000,4.3
9/1/2000,4
10/1/2000,3.9
11/1/2000,4
12/1/2000,3.8
1/1/2001,4.1
2/1/2001,4.2
3/1/2001,4.2
4/1/2001,4.3
5/1/2001,4.2
6/1/2001,4.4
7/1/2001,4.5
8/1/2001,4.8
9/1/2001,5
10/1/2001,5.2
11/1/2001,5.4
12/1/2001,5.7
1/1/2002,5.5
2/1/2002,5.5
3/1/2002,5.6
4/1/2002,5.9
5/1/2002,5.7
6/1/2002,5.6
7/1/2002,5.7
8/1/2002,5.5
9/1/2002,5.5
10/1/2002,5.6
11/1/2002,5.6
12/1/2002,5.7
1/1/2003,5.4
2/1/2003,5.6
3/1/2003,5.7
4/1/2003,5.7
5/1/2003,5.7
6/1/2003,5.9
7/1/2003,5.7
8/1/2003,5.8
9/1/2003,5.8
10/1/2003,5.7
11/1/2003,5.4
12/1/2003,5.6
1/1/2004,5.7
2/1/2004,5.5
3/1/2004,5.8
4/1/2004,5.4
5/1/2004,5.4
6/1/2004,5.6
7/1/2004,5.5
8/1/2004,5.2
9/1/2004,5.2
10/1/2004,5.3
11/1/2004,5.2
12/1/2004,5.1
1/1/2005,5.1
2/1/2005,5.3
3/1/2005,5.1
4/1/2005,5.2
5/1/2005,5.2
6/1/2005,5.1
7/1/2005,5.1
8/1/2005,4.9
9/1/2005,5.1
10/1/2005,5.1
11/1/2005,5.1
12/1/2005,4.9
1/1/2006,4.8
2/1/2006,4.8
3/1/2006,4.7
4/1/2006,4.7
5/1/2006,4.5
6/1/2006,4.6
7/1/2006,4.7
8/1/2006,4.6
9/1/2006,4.7
10/1/2006,4.4
11/1/2006,4.5
12/1/2006,4.4
1/1/2007,4.5
2/1/2007,4.3
3/1/2007,4.3
4/1/2007,4.4
5/1/2007,4.3
6/1/2007,4.4
7/1/2007,4.6
8/1/2007,4.6
9/1/2007,4.5
10/1/2007,4.6
11/1/2007,4.6
12/1/2007,4.9
1/1/2008,4.8
2/1/2008,4.7
3/1/2008,5
4/1/2008,4.8
5/1/2008,5.2
6/1/2008,5.3
7/1/2008,5.3
8/1/2008,5.9
9/1/2008,5.5
10/1/2008,5.9
11/1/2008,6.2
12/1/2008,6.5
1/1/2009,7
2/1/2009,7.3
3/1/2009,7.6
4/1/2009,7.6
5/1/2009,8
6/1/2009,8.3
7/1/2009,8.3
8/1/2009,8.3
9/1/2009,8.5
10/1/2009,8.7
11/1/2009,8.6
12/1/2009,8.7
1/1/2010,8.4
2/1/2010,8.6
3/1/2010,8.7
4/1/2010,8.8
5/1/2010,8.8
6/1/2010,8.3
7/1/2010,8.5
8/1/2010,8.6
9/1/2010,8.6
10/1/2010,8.7
11/1/2010,9
12/1/2010,8.5
1/1/2011,8.5
2/1/2011,8.5
3/1/2011,8.4
4/1/2011,8.5
5/1/2011,8.5
6/1/2011,8.5
7/1/2011,8.4
8/1/2011,8.5
9/1/2011,8.7
10/1/2011,8.4
11/1/2011,8.3
12/1/2011,8.3
1/1/2012,8.2
2/1/2012,8.1
3/1/2012,8
4/1/2012,8
5/1/2012,7.9
6/1/2012,7.9
7/1/2012,8
8/1/2012,7.8
9/1/2012,7.6
10/1/2012,7.6
11/1/2012,7.6
12/1/2012,7.9
1/1/2013,7.8
2/1/2013,7.6
3/1/2013,7.5
4/1/2013,7.3
5/1/2013,7.1
6/1/2013,7.3
7/1/2013,6.8
8/1/2013,6.7
9/1/2013,6.7
10/1/2013,6.8
11/1/2013,6.7
12/1/2013,6.6
1/1/2014,6.3
2/1/2014,6.4
3/1/2014,6.6
4/1/2014,6.1
5/1/2014,6.2
6/1/2014,5.8
7/1/2014,6.1
8/1/2014,6
9/1/2014,6
10/1/2014,5.9
11/1/2014,5.8
12/1/2014,5.4
1/1/2015,5.5
2/1/2015,5.3
3/1/2015,5.3
4/1/2015,5.4
5/1/2015,5.5
6/1/2015,5.1
7/1/2015,5.2
8/1/2015,5
9/1/2015,5
10/1/2015,5
11/1/2015,5
12/1/2015,4.9
1/1/2016,4.9
2/1/2016,4.8
3/1/2016,5.1
4/1/2016,5
5/1/2016,4.8
6/1/2016,4.8
7/1/2016,4.5
8/1/2016,4.8
9/1/2016,4.8
10/1/2016,4.7
11/1/2016,4.6
12/1/2016,4.6
1/1/2017,4.7
2/1/2017,4.6
3/1/2017,4.3
4/1/2017,4.5
5/1/2017,4.4
6/1/2017,4.3
7/1/2017,4.2
8/1/2017,4.3
9/1/2017,4.2
10/1/2017,4
11/1/2017,4.1
12/1/2017,4.1
1/1/2018,4
2/1/2018,4.1
3/1/2018,4
4/1/2018,3.8
5/1/2018,3.6
6/1/2018,3.9
7/1/2018,3.8
8/1/2018,3.8
9/1/2018,3.6
10/1/2018,3.8
11/1/2018,3.8
12/1/2018,3.8
1/1/2019,3.9
2/1/2019,3.8
3/1/2019,3.7
4/1/2019,3.5
5/1/2019,3.6
6/1/2019,3.6
7/1/2019,3.7
8/1/2019,3.6
9/1/2019,3.4
10/1/2019,3.5
11/1/2019,3.6
12/1/2019,3.6
1/1/2020,3.5
2/1/2020,3.4
3/1/2020,4.4
4/1/2020,16.1
5/1/2020,14.5
6/1/2020,11.6
7/1/2020,10.7
8/1/2020,8.6
9/1/2020,8.1
10/1/2020,6.8
11/1/2020,6.4
12/1/2020,6.7
1/1/2021,6.3
2/1/2021,6.1
3/1/2021,5.9
4/1/2021,5.8
5/1/2021,5.5
6/1/2021,5.7
7/1/2021,5.2
8/1/2021,5
9/1/2021,4.5
10/1/2021,4.6
11/1/2021,4.2
12/1/2021,3.9
1/1/2022,3.9
